TS0098,666102.41800,1242592.78600,3158.95111,
TS0099,666111.53300,1242599.20200,3158.80363,
TS0100,666097.91100,1242620.90600,3157.59169,
TS0101,666088.47500,1242614.64800,3157.80067,
TS0102,666078.68300,1242609.38800,3157.52101,
TS0103,666066.40200,1242628.01500,3156.52178,
TS0104,666074.93100,1242633.58500,3156.72908,
TS0105,666084.82000,1242639.39700,3156.55423,
TS0106,666071.53400,1242658.30900,3155.50669,
TS0107,666061.65300,1242654.39100,3155.60670,
TS0108,666050.99600,1242649.86200,3155.29560,
TS0109,666039.12500,1242669.40700,3154.26594,
TS0110,666048.59500,1242674.23200,3154.50889,
TS0111,666059.97400,1242680.10200,3154.34053,
TS0112,666047.94100,1242700.14300,3153.26958,
TS0113,666037.57500,1242694.81200,3153.46061,
TS0114,666028.81000,1242690.06800,3153.25449,
TS0115,666017.47700,1242709.97500,3152.21317,
TS0116,666025.71300,1242713.93200,3152.41211,
TS0117,666036.32600,1242721.15400,3152.16476,
TS0118,666025.05700,1242741.05300,3151.12993,
TS0119,666013.88800,1242737.41300,3151.21925,
TS0120,666005.93800,1242734.60800,3151.00590,
TS0121,665995.12000,1242755.18800,3149.94055,
TS0122,666006.81800,1242762.06800,3150.04429,
TS0123,666014.23000,1242765.37400,3149.88738,
TS0124,666003.49600,1242785.20600,3148.88531,
TS0125,665995.49000,1242782.16300,3149.03853,
TS0126,665986.43400,1242778.16900,3148.86517,
TS0127,665976.41400,1242800.81600,3147.86419,
TS0128,665986.24400,1242804.41800,3148.06070,
TS0129,665996.78600,1242807.81200,3147.86958,
